time,balance,unrealizedPL,pl,benchmark
2024-04-16 12:06:46,96601.0366,-501.3147,-3390.7021,1.06125
2024-04-16 12:07:45,96601.0366,-618.24,-3390.7021,1.06117
2024-04-16 12:08:46,96601.0366,-662.4147,-3390.7021,1.06114
2024-04-16 12:09:46,96601.0366,-667.3555,-3390.7021,1.06114
2024-04-16 12:10:45,96601.0366,-827.8728,-3390.7021,1.06108
2024-04-16 12:11:46,96601.0366,-825.2166,-3390.7021,1.06109
2024-04-16 12:12:46,96563.9441,-799.0243,-3427.7946,1.06109
2024-04-16 12:13:45,96563.9441,-828.1213,-3427.7946,1.06109
2024-04-16 12:14:45,96563.9441,-858.9739,-3427.7946,1.06109
2024-04-16 12:15:45,96563.9441,-864.8048,-3427.7946,1.06108
2024-04-16 12:16:46,95707.6429,-8.2426,-4284.0958,1.06109
2024-04-16 12:17:46,95699.4003,0.0,-4292.3384,1.06109
2024-04-16 12:18:45,95699.4003,-12.3638,-4292.3384,1.06113
2024-04-16 12:19:45,95699.4003,-42.5095,-4292.3384,1.06113
2024-04-16 12:23:21,95699.4003,-39.3547,-4292.3384,1.06114
2024-04-16 12:23:37,95699.4003,-39.3976,-4292.3384,1.06113
2024-04-16 12:23:41,95699.4003,-40.7713,-4292.3384,1.06113
2024-04-16 12:23:48,95699.4003,-40.7288,-4292.3384,1.06113
2024-04-16 12:24:03,95699.4003,-40.7713,-4292.3384,1.06113
2024-04-16 12:24:19,95699.4003,-39.3547,-4292.3384,1.06113
2024-04-16 12:24:34,95699.4003,-38.9097,-4292.3384,1.06112
2024-04-16 12:24:49,95699.841,-49.4544,-4291.8977,1.06114
2024-04-16 12:25:04,95699.841,-54.9493,-4291.8977,1.06114
2024-04-16 12:25:17,95699.841,-41.212,-4291.8977,1.06116
2024-04-16 12:25:34,95691.5986,-64.2584,-4300.1401,1.06114
2024-04-16 12:25:48,95672.3663,-105.8405,-4319.3724,1.06114
2024-04-16 12:26:04,95672.3663,-131.8249,-4319.3724,1.06114
2024-04-16 12:26:18,95672.3663,-155.724,-4319.3724,1.06112
2024-04-16 12:26:46,95672.3663,-170.5563,-4319.3724,1.06118
2024-04-16 12:26:48,95672.3663,-174.5625,-4319.3724,1.06118
2024-04-16 12:27:18,95578.9511,-233.3538,-4412.7876,1.06118
2024-04-16 12:27:46,95578.9511,-195.1616,-4412.7876,1.06117
2024-04-16 12:27:49,95578.9511,-195.1672,-4412.7876,1.06117
2024-04-16 12:28:18,95578.9511,-219.2356,-4412.7876,1.06118
2024-04-16 12:28:46,95578.9511,-369.4343,-4412.7876,1.06114
2024-04-16 12:28:48,95578.9511,-357.0847,-4412.7876,1.06116
2024-04-16 12:29:46,95578.9511,-454.4484,-4412.7876,1.06117
2024-04-16 12:30:23,95576.7122,-582.9384,-4415.0265,1.06114
2024-04-16 12:30:34,95573.1514,-659.0073,-4418.5873,1.06113
2024-04-16 12:30:46,95572.2524,-683.3095,-4419.4863,1.06113
2024-04-16 12:31:04,95056.1857,-385.8283,-4935.553,1.06109
2024-04-16 12:31:46,94971.8983,-676.2878,-5019.8404,1.06102
2024-04-16 12:32:46,94955.4284,-769.6047,-5036.3103,1.06101
2024-04-16 12:32:46,94955.4284,-769.6047,-5036.3103,1.06101
2024-04-16 12:33:46,94394.9288,-411.2443,-5596.8099,1.06098
2024-04-16 12:33:46,94394.9288,-411.2443,-5596.8099,1.06098
2024-04-16 12:34:46,94337.9791,-376.7004,-5653.7596,1.06102
2024-04-16 12:34:46,94337.9791,-364.3362,-5653.7596,1.06102
2024-04-16 12:35:46,94330.4122,-450.8657,-5661.3265,1.06104
2024-04-16 12:36:46,94290.3548,-77.5124,-5701.3839,1.06113
2024-04-16 12:37:46,94284.1241,203.2845,-5707.6146,1.06117
2024-04-16 12:37:46,94284.1241,203.2845,-5707.6146,1.06117
2024-04-16 12:38:46,94284.1241,248.3488,-5707.6146,1.06117
2024-04-16 12:38:46,94284.1241,248.3488,-5707.6146,1.06117
2024-04-16 12:39:46,94284.1241,320.5645,-5707.6146,1.06117
2024-04-16 12:39:46,94284.1241,320.5645,-5707.6146,1.06117
2024-04-16 12:40:46,94445.9531,196.7349,-5545.7856,1.06116
2024-04-16 12:40:46,94445.9531,196.7349,-5545.7856,1.06116
2024-04-16 12:41:46,94445.9531,236.8885,-5545.7856,1.06117
2024-04-16 12:42:46,94588.1262,79.5931,-5403.6125,1.06117
2024-04-16 12:42:46,94588.1262,79.5931,-5403.6125,1.06117
2024-04-16 12:43:46,94533.0478,-103.7525,-5458.6909,1.06114
2024-04-16 12:44:46,94533.0478,-209.3434,-5458.6909,1.06113
2024-04-16 12:44:46,94533.0478,-209.3434,-5458.6909,1.06113
2024-04-16 12:45:46,94501.2036,-213.4412,-5490.5351,1.06112
2024-04-16 12:45:46,94501.2036,-213.4412,-5490.5351,1.06112
